user_id,event_date,event_timestamp,event_name,firebase_screen,firebase_screen_class,ga_session_id,ga_session_number,content_type,content,engagement_time_msec,Column1,Column2,Column3,Column4,Home_Button_Visibility,Category_Button_Visibility,Map_Button_Visibility,items
Ozqv3X1u3xdOeNJgeGIoVK72Lbr2,2021-07-31,1627753045385000,app_remove,,,1627453650,1,,,,,,,,,,,
jm9VZ5Q7GudTuzxzkkltqWrj5ea2,2021-07-29,1627556287963000,app_remove,,,1627425427,1,,,,,,,,,,,
DgZ7N81qOuZEvunmxzXMGmyr1kv1,2021-07-29,1627558077023000,screen_view,,HomeDefinition,1627556365,1,,,,,,,,,,,
DgZ7N81qOuZEvunmxzXMGmyr1kv1,2021-07-29,1627557011815000,select_content,,MainActivity_V1,1627556365,1,,L1,,,,,,,,,
DgZ7N81qOuZEvunmxzXMGmyr1kv1,2021-07-29,1627557010377000,screen_view,,MainActivity_V1,1627556365,1,,,1502,,,,,,,,
DgZ7N81qOuZEvunmxzXMGmyr1kv1,2021-07-29,1627558076942000,user_engagement,,HomeDefinition,1627556365,1,,,4438,,,,,,,,
DgZ7N81qOuZEvunmxzXMGmyr1kv1,2021-07-29,1627556993375000,screen_view,productDetailsFragment,MainActivity_V1,1627556365,1,,,783,,,,,,,,
DgZ7N81qOuZEvunmxzXMGmyr1kv1,2021-07-29,1627556994158000,screen_view,L1,MainActivity_V1,1627556365,1,,,1801,,,,,,,,
DgZ7N81qOuZEvunmxzXMGmyr1kv1,2021-07-29,1627557009855000,screen_view,,FirstDecision,1627556365,1,,,,,,,,,,,
1qqL7cAsBPbuyGXLDKSjGLkrzwQ2,2021-07-29,1627558097723001,screen_view,productDetailsFragment,MainActivity_V1,1627556365,1,,,1387,,,,,,,,
1qqL7cAsBPbuyGXLDKSjGLkrzwQ2,2021-07-29,1627558106541001,screen_view,productDetailsFragment,MainActivity_V1,1627556365,1,,,1014,,,,,,,,
DgZ7N81qOuZEvunmxzXMGmyr1kv1,2021-07-29,1627556989342000,select_content,L3,MainActivity_V1,1627556365,1,BottomNavBar_Screen,gridLayoutHorizontal2,,,,,,,,,
DgZ7N81qOuZEvunmxzXMGmyr1kv1,2021-07-29,1627556989392001,screen_view,gridLayoutHorizontal2,MainActivity_V1,1627556365,1,,,840,,,,,,,,
1qqL7cAsBPbuyGXLDKSjGLkrzwQ2,2021-07-29,1627558094103001,screen_view,productDetailsFragment,MainActivity_V1,1627556365,1,,,1294,,,,,,,,
1qqL7cAsBPbuyGXLDKSjGLkrzwQ2,2021-07-29,1627558104199001,select_content,productDetailsFragment,MainActivity_V1,1627556365,1,BottomNavBar_Screen,L5,,,,,,,,,
1qqL7cAsBPbuyGXLDKSjGLkrzwQ2,2021-07-29,1627558077303000,screen_view,,MainActivity_V1,1627556365,1,,,3669,,,,,,,,
1qqL7cAsBPbuyGXLDKSjGLkrzwQ2,2021-07-29,1627558080953001,screen_view,L1,MainActivity_V1,1627556365,1,,,3997,,,,,,,,
1qqL7cAsBPbuyGXLDKSjGLkrzwQ2,2021-07-29,1627558104219000,screen_view,L5,MainActivity_V1,1627556365,1,,,2318,,,,,,,,
DgZ7N81qOuZEvunmxzXMGmyr1kv1,2021-07-29,1627558076240000,select_content,,HomeDefinition,1627556365,1,Button_Clicked,SignIn_Button,,,,,,,,,
DgZ7N81qOuZEvunmxzXMGmyr1kv1,2021-07-29,1627557011870001,screen_view,L1,MainActivity_V1,1627556365,1,,,27844,,,,,,,,
DgZ7N81qOuZEvunmxzXMGmyr1kv1,2021-07-29,1627557039663000,select_content,L1,MainActivity_V1,1627556365,1,ToolBar,SignOut_button,,,,,,,,,
DgZ7N81qOuZEvunmxzXMGmyr1kv1,2021-07-29,1627557049322000,user_engagement,,HomeDefinition,1627556365,1,,,9457,,,,,,,,
DgZ7N81qOuZEvunmxzXMGmyr1kv1,2021-07-29,1627558063380000,user_engagement,,HomeDefinition,1627556365,1,,,28132,,,,,,,,
DgZ7N81qOuZEvunmxzXMGmyr1kv1,2021-07-29,1627557039847002,screen_view,,HomeDefinition,1627556365,1,,,,,,,,,,,
DgZ7N81qOuZEvunmxzXMGmyr1kv1,2021-07-29,1627556935774000,select_content,,MainActivity_V1,1627556365,1,,L1,,,,,,,,,
DgZ7N81qOuZEvunmxzXMGmyr1kv1,2021-07-29,1627556986176001,screen_view,productDetailsFragment,MainActivity_V1,1627556365,1,,,1982,,,,,,,,
1qqL7cAsBPbuyGXLDKSjGLkrzwQ2,2021-07-29,1627558099083000,select_content,productDetailsFragment,MainActivity_V1,1627556365,1,BottomNavBar_Screen,gridLayoutHorizontal4,,,,,,,,,
DgZ7N81qOuZEvunmxzXMGmyr1kv1,2021-07-29,1627556988110000,select_content,productDetailsFragment,MainActivity_V1,1627556365,1,BottomNavBar_Screen,L3,,,,,,,,,
1qqL7cAsBPbuyGXLDKSjGLkrzwQ2,2021-07-29,1627558088691001,screen_view,productDetailsFragment,MainActivity_V1,1627556365,1,,,1885,,,,,,,,
1qqL7cAsBPbuyGXLDKSjGLkrzwQ2,2021-07-29,1627558111565001,select_content,productDetailsFragment,MainActivity_V1,1627556365,1,BottomNavBar_Screen,L1,,,,,,,,,
1qqL7cAsBPbuyGXLDKSjGLkrzwQ2,2021-07-29,1627558116316000,user_engagement,L1,MainActivity_V1,1627556365,1,,,4725,,,,,,,,
DgZ7N81qOuZEvunmxzXMGmyr1kv1,2021-07-29,1627558060438000,select_content,,HomeDefinition,1627556365,1,Button_Clicked,SignIn_Button,,,,,,,,,
DgZ7N81qOuZEvunmxzXMGmyr1kv1,2021-07-29,1627556364490000,app_clear_data,,,1627556365,1,,,,,,,,,,,
DgZ7N81qOuZEvunmxzXMGmyr1kv1,2021-07-29,1627556944029000,user_engagement,L1,MainActivity_V1,1627556365,1,,,8048,,,,,,,,
DgZ7N81qOuZEvunmxzXMGmyr1kv1,2021-07-29,1627556996057001,screen_view,,HomeDefinition,1627556365,1,,,,,,,,,,,
1qqL7cAsBPbuyGXLDKSjGLkrzwQ2,2021-07-29,1627558095367000,select_content,productDetailsFragment,MainActivity_V1,1627556365,1,BottomNavBar_Screen,gridLayoutHorizontal2,,,,,,,,,
DgZ7N81qOuZEvunmxzXMGmyr1kv1,2021-07-29,1627556990234001,screen_view,gridLayoutHorizontal4,MainActivity_V1,1627556365,1,,,1701,,,,,,,,
1qqL7cAsBPbuyGXLDKSjGLkrzwQ2,2021-07-29,1627558086835001,screen_view,L5,MainActivity_V1,1627556365,1,,,1851,,,,,,,,
1qqL7cAsBPbuyGXLDKSjGLkrzwQ2,2021-07-29,1627558107535000,select_content,productDetailsFragment,MainActivity_V1,1627556365,1,BottomNavBar_Screen,L1,,,,,,,,,
1qqL7cAsBPbuyGXLDKSjGLkrzwQ2,2021-07-29,1627558110424001,screen_view,productDetailsFragment,MainActivity_V1,1627556365,1,,,1160,,,,,,,,
1qqL7cAsBPbuyGXLDKSjGLkrzwQ2,2021-07-29,1627558111579000,screen_view,L1,MainActivity_V1,1627556365,1,,,,,,,,,,,
DgZ7N81qOuZEvunmxzXMGmyr1kv1,2021-07-29,1627556990203000,select_content,gridLayoutHorizontal2,MainActivity_V1,1627556365,1,BottomNavBar_Screen,gridLayoutHorizontal4,,,,,,,,,
DgZ7N81qOuZEvunmxzXMGmyr1kv1,2021-07-29,1627556991934000,screen_view,gridLayoutHorizontal2,MainActivity_V1,1627556365,1,,,757,,,,,,,,
DgZ7N81qOuZEvunmxzXMGmyr1kv1,2021-07-29,1627556935952001,screen_view,L1,MainActivity_V1,1627556365,1,,,20144,,,,,,,,
DgZ7N81qOuZEvunmxzXMGmyr1kv1,2021-07-29,1627557002408000,user_engagement,,FirstDecision,1627556365,1,,,2742,,,,,,,,
1qqL7cAsBPbuyGXLDKSjGLkrzwQ2,2021-07-29,1627558084961001,screen_view,productDetailsFragment,MainActivity_V1,1627556365,1,,,1880,,,,,,,,
1qqL7cAsBPbuyGXLDKSjGLkrzwQ2,2021-07-29,1627558095404001,screen_view,gridLayoutHorizontal2,MainActivity_V1,1627556365,1,,,2318,,,,,,,,
1qqL7cAsBPbuyGXLDKSjGLkrzwQ2,2021-07-29,1627558099107001,screen_view,gridLayoutHorizontal4,MainActivity_V1,1627556365,1,,,1152,,,,,,,,
1qqL7cAsBPbuyGXLDKSjGLkrzwQ2,2021-07-29,1627558100263001,screen_view,productDetailsFragment,MainActivity_V1,1627556365,1,,,3970,,,,,,,,
1qqL7cAsBPbuyGXLDKSjGLkrzwQ2,2021-07-29,1627558080903000,select_content,,MainActivity_V1,1627556365,1,,L1,,,,,,,,,
1qqL7cAsBPbuyGXLDKSjGLkrzwQ2,2021-07-29,1627558090530000,select_content,productDetailsFragment,MainActivity_V1,1627556365,1,BottomNavBar_Screen,L3,,,,,,,,,
DgZ7N81qOuZEvunmxzXMGmyr1kv1,2021-07-29,1627556996874000,screen_view,,HomeDefinition,1627556365,1,,,2779,,,,,,,,
DgZ7N81qOuZEvunmxzXMGmyr1kv1,2021-07-29,1627556455955000,screen_view,,MainActivity_V1,1627556365,1,,,1775,,,,,,,,
DgZ7N81qOuZEvunmxzXMGmyr1kv1,2021-07-29,1627556999685001,screen_view,,FirstDecision,1627556365,1,,,,,,,,,,,
DgZ7N81qOuZEvunmxzXMGmyr1kv1,2021-07-29,1627557009966001,screen_view,,HomeDefinition,1627556365,1,,,,,,,,,,,
DgZ7N81qOuZEvunmxzXMGmyr1kv1,2021-07-29,1627556486012000,user_engagement,,MainActivity_V1,1627556365,1,,,30067,,,,,,,,
DgZ7N81qOuZEvunmxzXMGmyr1kv1,2021-07-29,1627556988158001,screen_view,L3,MainActivity_V1,1627556365,1,,,1236,,,,,,,,
DgZ7N81qOuZEvunmxzXMGmyr1kv1,2021-07-29,1627556992684002,screen_view,L3,MainActivity_V1,1627556365,1,,,686,,,,,,,,
1qqL7cAsBPbuyGXLDKSjGLkrzwQ2,2021-07-29,1627558086792000,select_content,productDetailsFragment,MainActivity_V1,1627556365,1,BottomNavBar_Screen,L5,,,,,,,,,
1qqL7cAsBPbuyGXLDKSjGLkrzwQ2,2021-07-29,1627558107565001,screen_view,L1,MainActivity_V1,1627556365,1,,,2858,,,,,,,,
1qqL7cAsBPbuyGXLDKSjGLkrzwQ2,2021-07-29,1627558090576001,screen_view,L3,MainActivity_V1,1627556365,1,,,3536,,,,,,,,
DgZ7N81qOuZEvunmxzXMGmyr1kv1,2021-07-29,1627556986137000,select_item,L1,MainActivity_V1,1627556365,1,,,,,,,,,,,Mortal Kombat
